,order,species,adult_body_mass_g,adult_head_body_len_mm,home_range_km2,litter_size,habitat
1386,Chiroptera,Eumops maurus,NA,NA,NA,NA,T
939,Chiroptera,Eumops patagonicus,NA,NA,NA,NA,T
940,Chiroptera,Eumops perotis,50.97,NA,NA,0.99,T
941,Chiroptera,Eumops trumbulli,NA,NA,NA,NA,T
942,Chiroptera,Eumops underwoodi,58.67,NA,NA,1,T
1389,Chiroptera,Falsistrellus affinis,NA,NA,NA,NA,T
1390,Chiroptera,Falsistrellus mackenziei,23,NA,NA,NA,T
1391,Chiroptera,Falsistrellus mordax,NA,NA,NA,NA,T
1392,Chiroptera,Falsistrellus petersi,NA,NA,NA,NA,T
1393,Chiroptera,Falsistrellus tasmaniensis,22.54,NA,NA,NA,T
1461,Chiroptera,Furipterus horrens,3.15,NA,NA,1,T
1499,Chiroptera,Glauconycteris alboguttata,NA,NA,NA,NA,T
1500,Chiroptera,Glauconycteris argentata,9.3,NA,NA,NA,T
1501,Chiroptera,Glauconycteris beatrix,7.5,NA,NA,NA,T
1502,Chiroptera,Glauconycteris curryae,NA,NA,NA,NA,T
1503,Chiroptera,Glauconycteris egeria,NA,NA,NA,NA,T
1504,Chiroptera,Glauconycteris gleni,10.81,NA,NA,NA,T
1505,Chiroptera,Glauconycteris humeralis,5.49,NA,NA,NA,T
1506,Chiroptera,Glauconycteris kenyacola,7.17,NA,NA,NA,T
1507,Chiroptera,Glauconycteris machadoi,NA,NA,NA,NA,T
1508,Chiroptera,Glauconycteris poensis,6.91,NA,NA,NA,T
1509,Chiroptera,Glauconycteris superba,NA,NA,NA,NA,T
1510,Chiroptera,Glauconycteris variegata,11.25,NA,NA,1.12,T
1514,Chiroptera,Glischropus javanus,NA,NA,NA,NA,T
1515,Chiroptera,Glischropus tylopus,4.59,NA,NA,1,T
1518,Chiroptera,Glossophaga commissarisi,9.15,NA,NA,0.98,T
1519,Chiroptera,Glossophaga leachii,10.24,NA,NA,0.98,T
1520,Chiroptera,Glossophaga longirostris,13.32,NA,NA,0.98,T
1521,Chiroptera,Glossophaga morenoi,8.54,NA,NA,1,T
1522,Chiroptera,Glossophaga soricina,9.97,48.99,NA,1,T
1523,Chiroptera,Glyphonycteris behnii,NA,NA,NA,NA,T
1524,Chiroptera,Glyphonycteris daviesi,18.61,NA,NA,0.98,T
1525,Chiroptera,Glyphonycteris sylvestris,8.91,NA,NA,NA,T
1427,Chiroptera,Haplonycteris fischeri,18.25,NA,NA,1,T
1428,Chiroptera,Harpiocephalus harpia,13.65,NA,NA,NA,T
1429,Chiroptera,Harpiocephalus mordax,NA,NA,NA,NA,T
1430,Chiroptera,Harpyionycteris celebensis,116.77,144.16,NA,0.98,T
1431,Chiroptera,Harpyionycteris whiteheadi,135.48,152.15,NA,1,T
1718,Chiroptera,Hesperoptenus blanfordi,6.91,NA,NA,NA,T
538,Chiroptera,Hesperoptenus doriae,NA,NA,NA,NA,T
539,Chiroptera,Hesperoptenus gaskelli,NA,NA,NA,NA,T
540,Chiroptera,Hesperoptenus tickelli,16.3,NA,NA,1,T
541,Chiroptera,Hesperoptenus tomesi,NA,NA,NA,NA,T
1608,Chiroptera,Hipposideros abae,NA,NA,NA,1.5,T
1609,Chiroptera,Hipposideros armiger,49.99,NA,NA,NA,T
1610,Chiroptera,Hipposideros ater,5.86,NA,NA,0.99,T
1611,Chiroptera,Hipposideros beatus,6.7,NA,NA,NA,T
1612,Chiroptera,Hipposideros bicolor,8.39,NA,NA,0.99,T
1613,Chiroptera,Hipposideros breviceps,NA,NA,NA,NA,T
1614,Chiroptera,Hipposideros caffer,9.46,54.99,NA,0.99,T
1615,Chiroptera,Hipposideros calcaratus,NA,NA,NA,NA,T
1616,Chiroptera,Hipposideros camerunensis,NA,NA,NA,NA,T
1617,Chiroptera,Hipposideros cervinus,8.51,NA,NA,NA,T
1618,Chiroptera,Hipposideros cineraceus,3.84,NA,NA,0.98,T
1619,Chiroptera,Hipposideros commersoni,89.99,127.5,NA,0.99,T
1620,Chiroptera,Hipposideros coronatus,NA,NA,NA,NA,T
1621,Chiroptera,Hipposideros corynophyllus,15.07,NA,NA,NA,T
1622,Chiroptera,Hipposideros coxi,NA,NA,NA,NA,T
1623,Chiroptera,Hipposideros crumeniferus,NA,NA,NA,NA,T
1624,Chiroptera,Hipposideros curtus,NA,NA,NA,NA,T
1625,Chiroptera,Hipposideros cyclops,32.92,75.99,NA,1,T
1626,Chiroptera,Hipposideros demissus,NA,NA,NA,NA,T
1627,Chiroptera,Hipposideros diadema,46.9,NA,NA,1,T
1628,Chiroptera,Hipposideros dinops,NA,NA,NA,NA,T
1629,Chiroptera,Hipposideros doriae,4.24,NA,NA,NA,T
1630,Chiroptera,Hipposideros durgadasi,NA,NA,NA,NA,T
1631,Chiroptera,Hipposideros dyacorum,NA,NA,NA,NA,T
1632,Chiroptera,Hipposideros edwardshilli,NA,NA,NA,NA,T
1633,Chiroptera,Hipposideros fuliginosus,NA,NA,NA,NA,T
1634,Chiroptera,Hipposideros fulvus,8.83,NA,NA,1,T
1635,Chiroptera,Hipposideros galeritus,10.17,NA,NA,0.99,T
1636,Chiroptera,Hipposideros gigas,115.42,NA,NA,1,T
1637,Chiroptera,Hipposideros grandis,NA,NA,NA,NA,T
1638,Chiroptera,Hipposideros halophyllus,4,NA,NA,NA,T
1639,Chiroptera,Hipposideros hypophyllus,NA,NA,NA,NA,T
1640,Chiroptera,Hipposideros inexpectatus,NA,NA,NA,NA,T
1641,Chiroptera,Hipposideros inornatus,25.9,NA,NA,NA,T
1642,Chiroptera,Hipposideros jonesi,5.49,NA,NA,NA,T
1643,Chiroptera,Hipposideros lamottei,NA,NA,NA,NA,T
1644,Chiroptera,Hipposideros lankadiva,44.76,NA,NA,0.99,T
1645,Chiroptera,Hipposideros larvatus,19.95,NA,NA,0.98,T
1646,Chiroptera,Hipposideros lekaguli,31.08,NA,NA,NA,T
1647,Chiroptera,Hipposideros lylei,40,NA,NA,NA,T
1648,Chiroptera,Hipposideros macrobullatus,NA,NA,NA,NA,T
1649,Chiroptera,Hipposideros madurae,NA,NA,NA,NA,T
1650,Chiroptera,Hipposideros maggietaylorae,16.1,NA,NA,NA,T
1651,Chiroptera,Hipposideros marisae,NA,NA,NA,NA,T
1652,Chiroptera,Hipposideros megalotis,NA,NA,NA,NA,T
1653,Chiroptera,Hipposideros muscinus,NA,NA,NA,NA,T
1654,Chiroptera,Hipposideros nequam,NA,NA,NA,NA,T
1655,Chiroptera,Hipposideros obscurus,9.6,NA,NA,NA,T
1656,Chiroptera,Hipposideros orbiculus,NA,NA,NA,NA,T
1657,Chiroptera,Hipposideros papua,NA,NA,NA,NA,T
1658,Chiroptera,Hipposideros pelingensis,NA,NA,NA,NA,T
1659,Chiroptera,Hipposideros pomona,6.2,NA,NA,NA,T
1660,Chiroptera,Hipposideros pratti,NA,NA,NA,NA,T
1661,Chiroptera,Hipposideros pygmaeus,3.53,NA,NA,NA,T
1662,Chiroptera,Hipposideros ridleyi,9.59,NA,NA,0.98,T
1663,Chiroptera,Hipposideros rotalis,NA,NA,NA,NA,T
1664,Chiroptera,Hipposideros ruber,10.61,NA,NA,1,T
1665,Chiroptera,Hipposideros scutinares,NA,NA,NA,NA,T
1666,Chiroptera,Hipposideros semoni,14,NA,NA,NA,T
1667,Chiroptera,Hipposideros sorenseni,NA,NA,NA,NA,T
1668,Chiroptera,Hipposideros speoris,10.39,NA,NA,0.99,T
1669,Chiroptera,Hipposideros stenotis,12,NA,NA,NA,T
1670,Chiroptera,Hipposideros sumbae,NA,NA,NA,NA,T
1671,Chiroptera,Hipposideros thomensis,NA,NA,NA,NA,T
1672,Chiroptera,Hipposideros turpis,33.31,NA,NA,1,T
1673,Chiroptera,Hipposideros vittatus,NA,NA,NA,NA,T
1674,Chiroptera,Hipposideros wollastoni,6.93,NA,NA,NA,T
1678,Chiroptera,Histiotus alienus,NA,NA,NA,NA,T
1679,Chiroptera,Histiotus humboldti,NA,NA,NA,NA,T
1680,Chiroptera,Histiotus laephotis,NA,NA,NA,NA,T
1681,Chiroptera,Histiotus macrotus,11,NA,NA,0.98,T
1682,Chiroptera,Histiotus magellanicus,NA,NA,NA,NA,T
1683,Chiroptera,Histiotus montanus,NA,NA,NA,NA,T
1684,Chiroptera,Histiotus velatus,11.32,NA,NA,NA,T
1788,Chiroptera,Hylonycteris underwoodi,7.5,59.84,NA,0.99,T
1807,Chiroptera,Hypsignathus monstrosus,336.97,226.48,NA,1.4,T
1809,Chiroptera,Hypsugo alaschanicus,NA,NA,NA,NA,T
1810,Chiroptera,Hypsugo anchietae,NA,NA,NA,NA,T
1811,Chiroptera,Hypsugo anthonyi,NA,NA,NA,NA,T
1812,Chiroptera,Hypsugo arabicus,3.17,NA,NA,NA,T
1813,Chiroptera,Hypsugo ariel,NA,NA,NA,NA,T
1814,Chiroptera,Hypsugo bodenheimeri,2.73,NA,NA,NA,T
1815,Chiroptera,Hypsugo cadornae,6.69,NA,NA,NA,T
1816,Chiroptera,Hypsugo crassulus,6.09,NA,NA,NA,T
1817,Chiroptera,Hypsugo eisentrauti,6.11,NA,NA,NA,T
1818,Chiroptera,Hypsugo imbricatus,6.29,NA,NA,NA,T
1819,Chiroptera,Hypsugo joffrei,NA,NA,NA,NA,T
1820,Chiroptera,Hypsugo kitcheneri,NA,NA,NA,NA,T
1821,Chiroptera,Hypsugo lophurus,NA,NA,NA,NA,T
1822,Chiroptera,Hypsugo macrotis,NA,NA,NA,NA,T
1823,Chiroptera,Hypsugo musciculus,NA,NA,NA,NA,T
1824,Chiroptera,Hypsugo pulveratus,5.53,NA,NA,NA,T
1825,Chiroptera,Hypsugo savii,6.3,NA,NA,2,T
1826,Chiroptera,Hypsugo vordermanni,NA,NA,NA,NA,T
1835,Chiroptera,Ia io,49.3,NA,NA,NA,T
1843,Chiroptera,Idionycteris phyllotis,12.13,59,NA,0.99,T
1577,Chiroptera,Kerivoula africana,NA,NA,NA,NA,T
1578,Chiroptera,Kerivoula agnella,NA,NA,NA,NA,T
1579,Chiroptera,Kerivoula argentata,10.11,NA,NA,NA,T
1580,Chiroptera,Kerivoula cuprosa,NA,NA,NA,0.98,T
1861,Chiroptera,Kerivoula eriophora,NA,NA,NA,NA,T
1862,Chiroptera,Kerivoula flora,6.01,NA,NA,1,T
1863,Chiroptera,Kerivoula hardwickii,4.55,NA,NA,1,T
1864,Chiroptera,Kerivoula intermedia,NA,NA,NA,NA,T
1865,Chiroptera,Kerivoula lanosa,6.66,NA,NA,0.98,T
1866,Chiroptera,Kerivoula lenis,NA,NA,NA,NA,T
1867,Chiroptera,Kerivoula minuta,2.03,NA,NA,NA,T
1868,Chiroptera,Kerivoula muscina,5.29,NA,NA,NA,T
1869,Chiroptera,Kerivoula myrella,NA,NA,NA,NA,T
1870,Chiroptera,Kerivoula papillosa,10.21,NA,NA,0.98,T
1871,Chiroptera,Kerivoula pellucida,4.14,NA,NA,NA,T
1872,Chiroptera,Kerivoula phalaena,3.03,NA,NA,NA,T
1873,Chiroptera,Kerivoula picta,4.5,NA,NA,1,T
1874,Chiroptera,Kerivoula smithii,NA,NA,NA,0.98,T
1875,Chiroptera,Kerivoula whiteheadi,3.29,NA,NA,NA,T
1888,Chiroptera,Laephotis angolensis,NA,NA,NA,NA,T
1889,Chiroptera,Laephotis botswanae,7.28,NA,NA,NA,T
1890,Chiroptera,Laephotis namibensis,NA,NA,NA,NA,T
1891,Chiroptera,Laephotis wintoni,6.1,NA,NA,NA,T
1725,Chiroptera,Lampronycteris brachyotis,10.39,NA,NA,0.98,T
1730,Chiroptera,Lasionycteris noctivagans,11.02,NA,NA,1.77,T
2063,Chiroptera,Lasiurus atratus,NA,NA,NA,NA,T
2064,Chiroptera,Lasiurus blossevillii,NA,NA,NA,NA,T
1731,Chiroptera,Lasiurus borealis,12.33,NA,NA,3.12,T
1732,Chiroptera,Lasiurus castaneus,12.51,NA,NA,NA,T
1733,Chiroptera,Lasiurus cinereus,27.06,75.35,NA,1.96,T
1734,Chiroptera,Lasiurus degelidus,NA,NA,NA,NA,T
1735,Chiroptera,Lasiurus ebenus,14,NA,NA,NA,T
1736,Chiroptera,Lasiurus ega,12.2,NA,NA,2.14,T
1737,Chiroptera,Lasiurus egregius,NA,NA,NA,NA,T
1738,Chiroptera,Lasiurus insularis,NA,NA,NA,NA,T
1739,Chiroptera,Lasiurus intermedius,22.96,NA,NA,2.97,T
1740,Chiroptera,Lasiurus minor,NA,NA,NA,NA,T
1741,Chiroptera,Lasiurus pfeifferi,NA,NA,NA,NA,T
1742,Chiroptera,Lasiurus salinae,NA,NA,NA,NA,T
1743,Chiroptera,Lasiurus seminolus,9.88,NA,NA,2.68,T
1744,Chiroptera,Lasiurus varius,NA,NA,NA,NA,T
1745,Chiroptera,Lasiurus xanthinus,NA,NA,NA,NA,T
1746,Chiroptera,Latidens salimalii,NA,106.38,NA,NA,T
1747,Chiroptera,Lavia frons,23.8,66.99,NA,0.99,T
2110,Chiroptera,Leptonycteris curasoae,25.27,NA,NA,0.99,T
2111,Chiroptera,Leptonycteris nivalis,24.26,NA,NA,1,T
2112,Chiroptera,Leptonycteris yerbabuenae,22.24,NA,NA,0.99,T
2148,Chiroptera,Lichonycteris obscura,6.5,NA,NA,0.98,T
2157,Chiroptera,Lionycteris spurrelli,8.85,NA,NA,0.98,T
2161,Chiroptera,Lissonycteris angolensis,68.31,105.16,NA,0.99,T
2164,Chiroptera,Lonchophylla bokermanni,NA,NA,NA,NA,T
2165,Chiroptera,Lonchophylla dekeyseri,NA,NA,NA,NA,T
2166,Chiroptera,Lonchophylla handleyi,NA,NA,NA,NA,T
2167,Chiroptera,Lonchophylla hesperia,NA,NA,NA,NA,T
2168,Chiroptera,Lonchophylla mordax,21.56,NA,NA,0.98,T
2169,Chiroptera,Lonchophylla robusta,13.72,NA,NA,0.98,T
2170,Chiroptera,Lonchophylla thomasi,7.09,NA,NA,0.98,T
2171,Chiroptera,Lonchorhina aurita,15.38,NA,NA,0.98,T
2172,Chiroptera,Lonchorhina fernandezi,NA,NA,NA,NA,T
2173,Chiroptera,Lonchorhina inusitata,NA,NA,NA,NA,T
2174,Chiroptera,Lonchorhina marinkellei,17.67,NA,NA,NA,T
2175,Chiroptera,Lonchorhina orinocensis,9.04,NA,NA,NA,T
2185,Chiroptera,Lophostoma brasiliense,9.76,NA,NA,0.98,T
2186,Chiroptera,Lophostoma carrikeri,22.35,NA,NA,NA,T
2187,Chiroptera,Lophostoma evotis,20.58,NA,NA,1,T
2188,Chiroptera,Lophostoma schulzi,18.02,NA,NA,NA,T
2189,Chiroptera,Lophostoma silvicolum,32.29,NA,NA,0.99,T
2257,Chiroptera,Macroderma gigas,124.37,115.82,NA,1,T
2285,Chiroptera,Macroglossus minimus,16.3,68.09,NA,0.99,T
2286,Chiroptera,Macroglossus sobrinus,21.8,NA,NA,1,T
2287,Chiroptera,Macrophyllum macrophyllum,8.02,NA,NA,1,T
2307,Chiroptera,Macrotus californicus,11.83,NA,NA,1,T
2308,Chiroptera,Macrotus waterhousii,16.27,58.36,NA,0.98,T
2383,Chiroptera,Megaderma lyra,39.27,73.99,NA,1,T
2384,Chiroptera,Megaderma spasma,24.71,NA,NA,1.41,T
2388,Chiroptera,Megaerops ecaudatus,26.29,NA,NA,NA,T
1927,Chiroptera,Megaerops kusnotoi,NA,NA,NA,NA,T
1928,Chiroptera,Megaerops niphanae,32.59,NA,NA,NA,T
1929,Chiroptera,Megaerops wetmorei,18.7,NA,NA,NA,T
1930,Chiroptera,Megaloglossus woermanni,16.71,40.59,NA,1,T
2416,Chiroptera,Melonycteris fardoulisi,NA,NA,NA,NA,T
2417,Chiroptera,Melonycteris melanops,47.59,94.13,NA,NA,T
2418,Chiroptera,Melonycteris woodfordi,36.2,88.28,NA,0.98,T
2276,Chiroptera,Mesophylla macconnelli,6.86,NA,NA,0.99,T
2576,Chiroptera,Micronycteris brosseti,NA,NA,NA,NA,T
2577,Chiroptera,Micronycteris hirsuta,12.89,NA,NA,0.99,T
2578,Chiroptera,Micronycteris homezi,NA,NA,NA,NA,T
2579,Chiroptera,Micronycteris matses,NA,NA,NA,NA,T
2580,Chiroptera,Micronycteris megalotis,6.4,NA,NA,0.98,T
2581,Chiroptera,Micronycteris microtis,NA,NA,NA,NA,T
2582,Chiroptera,Micronycteris minuta,6.9,NA,NA,0.99,T
2583,Chiroptera,Micronycteris sanborni,NA,NA,NA,NA,T
2584,Chiroptera,Micronycteris schmidtorum,7.73,NA,NA,NA,T
2590,Chiroptera,Micropteropus intermedius,NA,NA,NA,NA,T
2591,Chiroptera,Micropteropus pusillus,25.38,76.38,NA,0.99,T
2463,Chiroptera,Mimetillus moloneyi,8.89,NA,NA,0.98,T
2464,Chiroptera,Mimon bennettii,12.9,NA,NA,NA,T
2465,Chiroptera,Mimon cozumelae,NA,NA,NA,0.98,T
2466,Chiroptera,Mimon crenulatum,13.91,NA,NA,0.99,T
2467,Chiroptera,Mimon koepckeae,NA,NA,NA,NA,T
2468,Chiroptera,Miniopterus africanus,NA,NA,NA,NA,T
2469,Chiroptera,Miniopterus australis,7.4,NA,NA,0.99,T
2470,Chiroptera,Miniopterus fraterculus,7.38,NA,NA,1,T
2471,Chiroptera,Miniopterus fuscus,NA,NA,NA,NA,T
2472,Chiroptera,Miniopterus gleni,NA,NA,NA,NA,T
2473,Chiroptera,Miniopterus inflatus,14.9,NA,NA,0.99,T
2474,Chiroptera,Miniopterus macrocneme,7.53,NA,NA,1,T
2475,Chiroptera,Miniopterus magnater,14.14,NA,NA,NA,T
2476,Chiroptera,Miniopterus majori,NA,NA,NA,NA,T
2477,Chiroptera,Miniopterus manavi,NA,NA,NA,NA,T
2478,Chiroptera,Miniopterus medius,11.4,NA,NA,1,T
2479,Chiroptera,Miniopterus minor,NA,NA,NA,NA,T
2480,Chiroptera,Miniopterus natalensis,10.43,NA,NA,1,T
2481,Chiroptera,Miniopterus paululus,NA,NA,NA,NA,T
2482,Chiroptera,Miniopterus pusillus,8.95,NA,NA,NA,T
2483,Chiroptera,Miniopterus robustior,NA,NA,NA,NA,T
2484,Chiroptera,Miniopterus schreibersii,11.46,NA,NA,0.99,T
2485,Chiroptera,Miniopterus shortridgei,NA,NA,NA,NA,T
2486,Chiroptera,Miniopterus tristis,15.17,NA,NA,NA,T
1971,Chiroptera,Molossops aequatorianus,NA,NA,NA,NA,T
1972,Chiroptera,Molossops mattogrossensis,7.48,NA,NA,NA,T
1973,Chiroptera,Molossops neglectus,NA,NA,NA,NA,T
1974,Chiroptera,Molossops temminckii,5.86,NA,NA,0.98,T
1975,Chiroptera,Molossus aztecus,14.86,NA,NA,NA,T
1976,Chiroptera,Molossus barnesi,NA,NA,NA,NA,T
1977,Chiroptera,Molossus coibensis,NA,NA,NA,NA,T
1978,Chiroptera,Molossus currentium,17.79,NA,NA,0.99,T
1979,Chiroptera,Molossus molossus,13.7,59.82,NA,0.99,T
1931,Chiroptera,Molossus pretiosus,98,NA,NA,0.98,T
1932,Chiroptera,Molossus rufus,NA,NA,NA,NA,T
1933,Chiroptera,Molossus sinaloae,21.09,NA,NA,1.03,T
1987,Chiroptera,Monophyllus plethodon,15.33,NA,NA,0.99,T
1988,Chiroptera,Monophyllus redmani,8.79,NA,NA,0.99,T
1990,Chiroptera,Mops brachypterus,16,NA,NA,0.99,T
1991,Chiroptera,Mops condylurus,26.59,NA,NA,1,T
1992,Chiroptera,Mops congicus,42.84,NA,NA,0.99,T
1993,Chiroptera,Mops demonstrator,NA,NA,NA,1,T
1994,Chiroptera,Mops leucostigma,26.79,NA,NA,NA,T
1995,Chiroptera,Mops midas,45.5,NA,NA,1.22,T
1996,Chiroptera,Mops mops,31.12,NA,NA,NA,T
1997,Chiroptera,Mops nanulus,NA,NA,NA,1,T
1998,Chiroptera,Mops niangarae,NA,NA,NA,NA,T
1999,Chiroptera,Mops niveiventer,21.82,NA,NA,1,T
2000,Chiroptera,Mops petersoni,NA,NA,NA,NA,T
2001,Chiroptera,Mops sarasinorum,NA,NA,NA,NA,T
2002,Chiroptera,Mops spurrelli,8.08,NA,NA,NA,T
2003,Chiroptera,Mops thersites,21.99,NA,NA,1,T
2004,Chiroptera,Mops trevori,NA,NA,NA,0.98,T
2005,Chiroptera,Mormoops blainvillei,8.69,NA,NA,NA,T
2006,Chiroptera,Mormoops magna,NA,NA,NA,NA,T
2007,Chiroptera,Mormoops megalophylla,16.09,66.74,NA,0.99,T
2008,Chiroptera,Mormopterus acetabulosus,NA,NA,NA,NA,T
2009,Chiroptera,Mormopterus beccarii,14.3,NA,NA,NA,T
2010,Chiroptera,Mormopterus doriae,NA,NA,NA,NA,T
2011,Chiroptera,Mormopterus jugularis,11.56,NA,NA,NA,T
2012,Chiroptera,Mormopterus kalinowskii,NA,NA,NA,NA,T
2013,Chiroptera,Mormopterus loriae,7,NA,NA,NA,T
2014,Chiroptera,Mormopterus minutus,NA,NA,NA,NA,T
2015,Chiroptera,Mormopterus norfolkensis,8,NA,NA,1,T
2016,Chiroptera,Mormopterus phrudus,NA,NA,NA,NA,T
2017,Chiroptera,Mormopterus planiceps,9.24,NA,NA,0.99,T
2026,Chiroptera,Mosia nigrescens,3.33,NA,NA,0.98,T
2509,Chiroptera,Murina aenea,7.5,NA,NA,NA,T
2510,Chiroptera,Murina aurata,NA,NA,NA,NA,T
2511,Chiroptera,Murina cyclotis,9.35,NA,NA,1.98,T
2512,Chiroptera,Murina florium,4.41,NA,NA,NA,T
2513,Chiroptera,Murina fusca,NA,NA,NA,NA,T
2514,Chiroptera,Murina grisea,NA,NA,NA,NA,T
2515,Chiroptera,Murina hilgendorfi,NA,NA,NA,NA,T
2516,Chiroptera,Murina huttoni,7.56,NA,NA,NA,T
2517,Chiroptera,Murina leucogaster,7.54,NA,NA,NA,T
2518,Chiroptera,Murina puta,NA,NA,NA,NA,T
2519,Chiroptera,Murina rozendaali,NA,NA,NA,NA,T
2520,Chiroptera,Murina ryukyuana,NA,NA,NA,NA,T
2521,Chiroptera,Murina silvatica,NA,NA,NA,NA,T
2522,Chiroptera,Murina suilla,4,NA,NA,NA,T
2523,Chiroptera,Murina tenebrosa,NA,NA,NA,NA,T
2662,Chiroptera,Murina tubinaris,5.45,NA,NA,1.37,T
2663,Chiroptera,Murina ussuriensis,NA,NA,NA,NA,T
2703,Chiroptera,Musonycteris harrisoni,NA,NA,NA,NA,T
2747,Chiroptera,Myonycteris brachycephala,NA,NA,NA,NA,T
2748,Chiroptera,Myonycteris relicta,53.32,NA,NA,NA,T
2749,Chiroptera,Myonycteris torquata,44.92,99.4,NA,1,T
2752,Chiroptera,Myopterus daubentonii,NA,NA,NA,NA,T
2753,Chiroptera,Myopterus whitleyi,11.55,NA,NA,NA,T
2773,Chiroptera,Myotis abei,NA,NA,NA,NA,T
2774,Chiroptera,Myotis adversus,10.41,NA,NA,1,T
2775,Chiroptera,Myotis aelleni,NA,NA,NA,NA,T
2776,Chiroptera,Myotis albescens,5.69,NA,NA,0.98,T
2777,Chiroptera,Myotis alcathoe,NA,NA,NA,NA,T
2778,Chiroptera,Myotis altarium,11,NA,NA,NA,T
2779,Chiroptera,Myotis anjouanensis,NA,NA,NA,NA,T
2780,Chiroptera,Myotis annamiticus,NA,NA,NA,NA,T
2781,Chiroptera,Myotis annectans,9.75,NA,NA,NA,T
2782,Chiroptera,Myotis atacamensis,NA,NA,NA,NA,T
2783,Chiroptera,Myotis ater,NA,NA,NA,NA,T
2784,Chiroptera,Myotis auriculus,38.04,NA,NA,1,T
2785,Chiroptera,Myotis australis,NA,NA,NA,NA,T
2786,Chiroptera,Myotis austroriparius,7.35,NA,NA,1.88,T
2787,Chiroptera,Myotis bechsteinii,9.47,NA,NA,1,T
2788,Chiroptera,Myotis blythii,23.82,NA,NA,0.98,T
2789,Chiroptera,Myotis bocagii,7.93,NA,NA,0.99,T
2790,Chiroptera,Myotis bombinus,NA,NA,NA,NA,T
2791,Chiroptera,Myotis brandtii,5.3,NA,NA,NA,T
2792,Chiroptera,Myotis bucharensis,NA,NA,NA,NA,T
2793,Chiroptera,Myotis californicus,4.39,NA,NA,0.99,T
2794,Chiroptera,Myotis capaccinii,8.15,NA,NA,0.99,T
2795,Chiroptera,Myotis chiloensis,NA,NA,NA,0.98,T
2796,Chiroptera,Myotis chinensis,41.99,NA,NA,NA,T
2797,Chiroptera,Myotis ciliolabrum,4.89,NA,NA,NA,T
2798,Chiroptera,Myotis cobanensis,NA,NA,NA,NA,T
2799,Chiroptera,Myotis csorbai,NA,NA,NA,NA,T
2800,Chiroptera,Myotis dasycneme,15.16,NA,NA,1,T
2801,Chiroptera,Myotis daubentonii,7.63,44.4,NA,1.21,T
2802,Chiroptera,Myotis davidii,NA,NA,NA,NA,T
2803,Chiroptera,Myotis dominicensis,NA,NA,NA,NA,T
2804,Chiroptera,Myotis elegans,4.21,NA,NA,0.98,T
2805,Chiroptera,Myotis emarginatus,7.56,NA,NA,0.99,T
2806,Chiroptera,Myotis evotis,6.91,NA,NA,0.98,T
2807,Chiroptera,Myotis fimbriatus,NA,NA,NA,NA,T
2808,Chiroptera,Myotis findleyi,NA,NA,NA,NA,T
2809,Chiroptera,Myotis formosus,7.07,NA,NA,NA,T
2810,Chiroptera,Myotis fortidens,4.37,NA,NA,0.98,T
2811,Chiroptera,Myotis frater,7.54,NA,NA,1,T
2812,Chiroptera,Myotis gomantongensis,NA,NA,NA,NA,T
2813,Chiroptera,Myotis goudoti,5.56,95,NA,NA,T
2814,Chiroptera,Myotis grisescens,10.84,NA,NA,0.99,T
2815,Chiroptera,Myotis hajastanicus,NA,NA,NA,NA,T
2816,Chiroptera,Myotis hasseltii,8.7,NA,NA,0.99,T
2817,Chiroptera,Myotis hermani,NA,NA,NA,NA,T
2818,Chiroptera,Myotis horsfieldii,6.05,NA,NA,NA,T
2819,Chiroptera,Myotis hosonoi,NA,NA,NA,NA,T
2820,Chiroptera,Myotis ikonnikovi,NA,NA,NA,NA,T
2821,Chiroptera,Myotis insularum,NA,NA,NA,NA,T
2822,Chiroptera,Myotis keaysi,5.45,NA,NA,0.98,T
2823,Chiroptera,Myotis keenii,6.51,NA,NA,0.99,T
2824,Chiroptera,Myotis laniger,NA,NA,NA,NA,T
2825,Chiroptera,Myotis leibii,5.22,NA,NA,0.99,T
2826,Chiroptera,Myotis levis,5.49,NA,NA,NA,T
2827,Chiroptera,Myotis longipes,NA,NA,NA,NA,T
2828,Chiroptera,Myotis lucifugus,7.8,52.7,NA,1,T
2829,Chiroptera,Myotis macrodactylus,7.48,NA,NA,1,T
2830,Chiroptera,Myotis macropus,NA,NA,NA,NA,T
2831,Chiroptera,Myotis macrotarsus,12.64,NA,NA,NA,T
2832,Chiroptera,Myotis martiniquensis,NA,NA,NA,NA,T
2833,Chiroptera,Myotis melanorhinus,NA,NA,NA,NA,T
2834,Chiroptera,Myotis moluccarum,NA,NA,NA,NA,T
2835,Chiroptera,Myotis montivagus,8.3,NA,NA,NA,T
2836,Chiroptera,Myotis morrisi,NA,NA,NA,NA,T
2837,Chiroptera,Myotis muricola,4.8,NA,NA,1,T
2838,Chiroptera,Myotis myotis,25.59,72,NA,1.5,T
2839,Chiroptera,Myotis mystacinus,NA,NA,NA,NA,T
2840,Chiroptera,Myotis nattereri,7.25,NA,NA,0.99,T
2841,Chiroptera,Myotis nesopolus,3.56,NA,NA,NA,T
2842,Chiroptera,Myotis nigricans,NA,NA,NA,NA,T
2843,Chiroptera,Myotis nipalensis,NA,NA,NA,NA,T
2844,Chiroptera,Myotis occultus,8.79,NA,NA,NA,T
2845,Chiroptera,Myotis oreias,NA,NA,NA,NA,T
